,Bin_Edges,Histogram,Weights,Normalized_Weights
0,0,82887090.0,0.000109839,2.3861119e-06
1,1,6636029.0,0.00038819137,8.432961e-06
2,2,5410928.0,0.00042989673,9.338957e-06
3,3,4733216.0,0.00045964427,9.985184e-06
4,4,3785075.0,0.00051399955,1.1165984e-05
5,5,3394433.0,0.00054277066,1.1790999e-05
6,6,3343998.0,0.00054684846,1.1879584e-05
7,7,2977967.0,0.0005794821,1.2588509e-05
8,8,2570673.0,0.0006237012,1.3549112e-05
9,9,2129798.0,0.0006852212,1.4885555e-05
10,10,1816006.0,0.00074206403,1.6120393e-05
11,11,1573346.0,0.0007972378,1.7318973e-05
12,12,1406706.0,0.0008431373,1.8316081e-05
13,13,1222381.0,0.0009044753,1.9648569e-05
14,14,1065660.0,0.00096870307,2.1043836e-05
15,15,962298.0,0.0010194014,2.2145192e-05
16,16,823469.0,0.0011019867,2.3939254e-05
17,17,693924.0,0.0012004499,2.607824e-05
18,18,609795.0,0.001280584,2.7819051e-05
19,19,554394.0,0.0013430455,2.9175948e-05
20,20,507195.0,0.0014041468,3.0503294e-05
21,21,472197.0,0.0014552526,3.1613505e-05
22,22,414601.0,0.0015530478,3.373798e-05
23,23,358895.0,0.0016692305,3.62619e-05
24,24,307016.0,0.0018047601,3.9206105e-05
25,25,255064.0,0.0019800467,4.3013984e-05
26,26,205767.0,0.0022045104,4.789017e-05
27,27,164817.0,0.0024631962,5.350979e-05
28,28,136418.0,0.002707473,5.881639e-05
29,29,109081.0,0.0030277877,6.577482e-05
30,30,88228.0,0.0033666408,7.313597e-05
31,31,72041.0,0.0037257194,8.0936494e-05
32,32,56907.0,0.00419196,9.1064976e-05
33,33,55715.0,0.0042365654,9.203397e-05
34,34,43543.0,0.0047922647,0.00010410583
35,35,33873.0,0.005433419,0.00011803408
36,36,27867.0,0.0059903874,0.00013013351
37,37,24221.0,0.0064254566,0.00013958484
38,38,24010.0,0.006453628,0.00014019682
39,39,23911.0,0.006466974,0.00014048675
40,40,19721.0,0.007120911,0.0001546927
41,41,14698.0,0.008248422,0.00017918643
42,42,11489.0,0.009329511,0.0002026717
43,43,9833.0,0.010084561,0.00021907421
44,44,9623.0,0.010194003,0.00022145169
45,45,8562.0,0.01080718,0.00023477217
46,46,8324.0,0.010960591,0.00023810484
47,47,4868.0,0.014332591,0.0003113572
48,48,3602.0,0.016662039,0.00036196152
49,49,2585.0,0.019668432,0.00042727156
50,50,3518.0,0.016859787,0.00036625733
51,51,1895.0,0.02297182,0.0004990334
52,52,1481.0,0.025984984,0.00056449056
53,53,1822.0,0.023427494,0.00050893234
54,54,4292.0,0.015264062,0.00033159225
55,55,3943.0,0.015925262,0.00034595598
56,56,1086.0,0.030344857,0.0006592032
57,57,1076.0,0.030485537,0.00066225935
58,58,1406.0,0.026669038,0.0005793508
59,59,999.0,0.0316386,0.00068730814
60,60,1262.0,0.028149476,0.0006115114
61,61,1053.0,0.030816676,0.0006694529
62,62,947.0,0.032495633,0.0007059261
63,63,1463.0,0.026144348,0.0005679526
64,64,1008.0,0.03149704,0.0006842329
65,65,939.0,0.032633767,0.0007089269
66,66,1064.0,0.030656965,0.0006659834
67,67,979.0,0.03196014,0.00069429324
68,68,980.0,0.031943828,0.0006939388
69,69,1056.0,0.030772872,0.0006685013
70,70,751.0,0.03649052,0.0007927099
71,71,721.0,0.037241947,0.0008090337
72,72,590.0,0.04116935,0.0008943515
73,73,514.0,0.044108108,0.0009581923
74,74,474.0,0.04593152,0.0009978036
75,75,770.0,0.036037497,0.0007828686
76,76,548.0,0.042717885,0.00092799147
77,77,601.0,0.040790852,0.00088612916
78,78,379.0,0.05136655,0.0011158726
79,79,274.0,0.060412206,0.001312378
80,80,346.0,0.05376033,0.0011678746
81,81,287.0,0.059028134,0.0012823108
82,82,338.0,0.054392826,0.0011816146
83,83,470.0,0.04612656,0.0010020406
84,84,353.0,0.05322463,0.0011562371
85,85,309.0,0.056888014,0.0012358194
86,86,258.0,0.062257282,0.0013524599
87,87,147.0,0.08247861,0.0017917425
88,88,177.0,0.0751646,0.0016328549
89,89,200.0,0.07071068,0.0015360992
90,90,125.0,0.08944272,0.0019430289
91,91,140.0,0.08451542,0.0018359895
92,92,275.0,0.06030227,0.0013099897
93,93,227.0,0.066372335,0.0014418542
94,94,167.0,0.077382326,0.0016810321
95,95,181.0,0.07432941,0.0016147115
96,96,206.0,0.0696733,0.0015135634
97,97,248.0,0.06350006,0.0013794577
98,98,404.0,0.049751863,0.0010807957
99,99,252.0,0.06299408,0.0013684658
100,100,290.0,0.058722023,0.0012756609
101,101,119.0,0.09166985,0.0019914103
102,102,72.0,0.11785114,0.0025601655
103,103,121.0,0.09090909,0.001974884
104,104,94.0,0.10314212,0.0022406308
105,105,70.0,0.11952286,0.0025964815
106,106,50.0,0.14142136,0.0030721985
107,107,157.0,0.07980869,0.0017337418
108,108,66.0,0.12309149,0.0026740052
109,109,79.0,0.112508796,0.0024441099
110,110,65.0,0.12403473,0.002694496
111,111,133.0,0.086711,0.0018836856
112,112,66.0,0.12309149,0.0026740052
113,113,115.0,0.09325048,0.0020257477
114,114,118.0,0.09205746,0.0019998306
115,115,154.0,0.0805823,0.0017505474
116,116,93.0,0.10369517,0.002252645
117,117,146.0,0.08276059,0.001797868
118,118,101.0,0.099503726,0.0021615913
119,119,190.0,0.07254762,0.0015760044
120,120,376.0,0.05157106,0.0011203154
121,121,517.0,0.04397995,0.0009554082
122,122,163.0,0.07832605,0.0017015332
123,123,430.0,0.048224285,0.001047611
124,124,340.0,0.054232616,0.0011781342
125,125,61.0,0.12803687,0.0027814375
126,126,143.0,0.0836242,0.0018166289
127,127,87.0,0.107211255,0.0023290275
128,128,78.0,0.11322771,0.0024597272
129,129,52.0,0.13867505,0.0030125382
130,130,22.0,0.21320072,0.0046315133
131,131,25.0,0.2,0.0043447446
132,132,21.0,0.21821788,0.0047405045
133,133,21.0,0.21821788,0.0047405045
134,134,28.0,0.18898225,0.004105398
135,135,39.0,0.16012816,0.0034785797
136,136,26.0,0.19611613,0.0042603724
137,137,32.0,0.17677669,0.0038402476
138,138,45.0,0.1490712,0.0032383814
139,139,27.0,0.19245009,0.004180732
140,140,42.0,0.15430336,0.0033520432
141,141,56.0,0.13363062,0.0029029544
142,142,129.0,0.08804509,0.0019126671
143,143,72.0,0.11785114,0.0025601655
144,144,61.0,0.12803687,0.0027814375
145,145,20.0,0.2236068,0.004857572
146,146,28.0,0.18898225,0.004105398
147,147,170.0,0.0766965,0.0016661334
148,148,151.0,0.08137884,0.0017678513
149,149,122.0,0.09053575,0.0019667735
150,150,24.0,0.20412414,0.004434336
151,151,21.0,0.21821788,0.0047405045
152,152,28.0,0.18898225,0.004105398
153,153,13.0,0.2773501,0.0060250764
154,154,80.0,0.1118034,0.002428786
155,155,12.0,0.28867513,0.0062710983
156,156,16.0,0.25,0.0054309308
157,157,19.0,0.22941573,0.0049837637
158,158,23.0,0.2085144,0.004529709
159,159,24.0,0.20412414,0.004434336
160,160,12.0,0.28867513,0.0062710983
161,161,18.0,0.23570228,0.005120331
162,162,19.0,0.22941573,0.0049837637
163,163,40.0,0.15811388,0.003434822
164,164,38.0,0.16222142,0.003524053
165,165,17.0,0.24253564,0.005268777
166,166,15.0,0.2581989,0.005609041
167,167,41.0,0.15617377,0.0033926754
168,168,17.0,0.24253564,0.005268777
169,169,16.0,0.25,0.0054309308
170,170,11.0,0.30151135,0.006549949
171,171,17.0,0.24253564,0.005268777
172,172,7.0,0.3779645,0.008210796
173,173,10.0,0.31622776,0.006869644
174,174,5.0,0.4472136,0.009715144
175,175,2.0,0.70710677,0.015360991
176,176,3.0,0.57735026,0.012542197
177,177,1.0,1.0,0.021723723
178,178,1.0,1.0,0.021723723
179,179,10.0,0.31622776,0.006869644
180,180,3.0,0.57735026,0.012542197
181,181,5.0,0.4472136,0.009715144
182,182,15.0,0.2581989,0.005609041
183,183,6.0,0.40824828,0.008868672
184,184,7.0,0.3779645,0.008210796
185,185,1.0,1.0,0.021723723
186,186,5.0,0.4472136,0.009715144
187,187,3.0,0.57735026,0.012542197
188,188,4.0,0.5,0.0108618615
189,189,13.0,0.2773501,0.0060250764
190,190,30.0,0.18257418,0.003966191
191,191,6.0,0.40824828,0.008868672
192,192,7.0,0.3779645,0.008210796
193,193,10.0,0.31622776,0.006869644
194,194,3.0,0.57735026,0.012542197
195,195,4.0,0.5,0.0108618615
196,196,15.0,0.2581989,0.005609041
197,197,20.0,0.2236068,0.004857572
198,198,8.0,0.35355338,0.0076804953
199,199,2.0,0.70710677,0.015360991
200,200,9.0,0.33333334,0.0072412407
201,201,3.0,0.57735026,0.012542197
202,202,1.0,1.0,0.021723723
203,203,9.0,0.33333334,0.0072412407
204,204,9.0,0.33333334,0.0072412407
205,205,5.0,0.4472136,0.009715144
206,206,4.0,0.5,0.0108618615
207,207,10.0,0.31622776,0.006869644
208,208,5.0,0.4472136,0.009715144
210,210,32.0,0.17677669,0.0038402476
211,211,14.0,0.26726124,0.0058059087
212,212,4.0,0.5,0.0108618615
213,213,14.0,0.26726124,0.0058059087
214,214,6.0,0.40824828,0.008868672
215,215,8.0,0.35355338,0.0076804953
216,216,19.0,0.22941573,0.0049837637
217,217,39.0,0.16012816,0.0034785797
218,218,17.0,0.24253564,0.005268777
219,219,14.0,0.26726124,0.0058059087
220,220,15.0,0.2581989,0.005609041
221,221,10.0,0.31622776,0.006869644
222,222,8.0,0.35355338,0.0076804953
223,223,17.0,0.24253564,0.005268777
224,224,40.0,0.15811388,0.003434822
225,225,40.0,0.15811388,0.003434822
226,226,19.0,0.22941573,0.0049837637
227,227,19.0,0.22941573,0.0049837637
228,228,28.0,0.18898225,0.004105398
229,229,25.0,0.2,0.0043447446
230,230,13.0,0.2773501,0.0060250764
231,231,40.0,0.15811388,0.003434822
232,232,13.0,0.2773501,0.0060250764
233,233,12.0,0.28867513,0.0062710983
234,234,12.0,0.28867513,0.0062710983
235,235,13.0,0.2773501,0.0060250764
236,236,20.0,0.2236068,0.004857572
237,237,10.0,0.31622776,0.006869644
238,238,4.0,0.5,0.0108618615
239,239,3.0,0.57735026,0.012542197
240,240,5.0,0.4472136,0.009715144
241,241,15.0,0.2581989,0.005609041
242,242,13.0,0.2773501,0.0060250764
243,243,8.0,0.35355338,0.0076804953
244,244,2.0,0.70710677,0.015360991
245,245,5.0,0.4472136,0.009715144
246,246,2.0,0.70710677,0.015360991
247,247,4.0,0.5,0.0108618615
248,248,5.0,0.4472136,0.009715144
249,249,8.0,0.35355338,0.0076804953
250,250,5.0,0.4472136,0.009715144
251,251,10.0,0.31622776,0.006869644
252,252,7.0,0.3779645,0.008210796
253,253,2.0,0.70710677,0.015360991
